Nom du jeu,Code emission,N° livret,N° du colis,Date de réception,Date d'activation,Date statut vendu,Date relevé d'opération,N° relevé d'opération
ASTRO,66402,1686551,704457054,2022-10-22 00:00:00,2022-11-06 00:00:00,,,
CASH,14001,6366751,704457052,2022-10-22 00:00:00,2022-11-06 00:00:00,,,
MAXI MOTS CROISÉS,67303,1415671,704457052,2022-10-22 00:00:00,2022-11-06 00:00:00,,,
MEGA MOTS CROISÉS,67403,900397,704387130,2022-10-07 00:00:00,2022-11-06 00:00:00,,,
MEGA MOTS CROISÉS,67403,900398,704387130,2022-10-07 00:00:00,2022-11-06 00:00:00,,,
MILLIONNAIRE,67101,5516146,704387131,2022-10-07 00:00:00,2022-11-06 00:00:00,,,
CASH,14001,6366746,704457052,2022-10-22 00:00:00,2022-11-05 00:00:00,2022-11-06 00:00:00,,
CASH,14001,6366750,704457052,2022-10-22 00:00:00,2022-11-05 00:00:00,2022-11-06 00:00:00,,
JACKPOT,65902,5043425,704387131,2022-10-07 00:00:00,2022-11-05 00:00:00,,,
MAXI MOTS CROISÉS,67303,1415632,704457052,2022-10-22 00:00:00,2022-11-05 00:00:00,2022-11-06 00:00:00,,
MAXI MOTS CROISÉS,67303,1415662,704457052,2022-10-22 00:00:00,2022-11-05 00:00:00,,,
MEGA MOTS CROISÉS,67403,900383,704387130,2022-10-07 00:00:00,2022-11-05 00:00:00,2022-11-06 00:00:00,,
MEGA MOTS CROISÉS,67403,900384,704387130,2022-10-07 00:00:00,2022-11-05 00:00:00,2022-11-06 00:00:00,,
MOTS CROISÉS,67503,1230156,704457051,2022-10-22 00:00:00,2022-11-05 00:00:00,,,
SUPER 10 OU 200,66804,2039782,704457051,2022-10-22 00:00:00,2022-11-05 00:00:00,,,
X20,14801,1495025,704312835,2022-09-22 00:00:00,2022-11-05 00:00:00,,,
A PRENDRE OU A LAISSER,70301,2082826,703994346,2022-07-01 00:00:00,2022-11-04 00:00:00,,,
BANCO,88701,641987,703719229,2022-04-08 00:00:00,2022-11-04 00:00:00,,,
CASH,14001,6366744,704457052,2022-10-22 00:00:00,2022-11-04 00:00:00,2022-11-05 00:00:00,,
CASH,14001,6366745,704457052,2022-10-22 00:00:00,2022-11-04 00:00:00,2022-11-06 00:00:00,,
MAXI MOTS CROISÉS,67303,1130011,704387130,2022-10-07 00:00:00,2022-11-04 00:00:00,2022-11-05 00:00:00,,
MAXI MOTS CROISÉS,67303,1415631,704457052,2022-10-22 00:00:00,2022-11-04 00:00:00,2022-11-06 00:00:00,,
MEGA MOTS CROISÉS,67403,900371,704387130,2022-10-07 00:00:00,2022-11-04 00:00:00,2022-11-05 00:00:00,,
SOLITAIRE,67202,2548341,704387131,2022-10-07 00:00:00,2022-11-04 00:00:00,,,
SUPER 10 OU 200,66804,2039774,704457051,2022-10-22 00:00:00,2022-11-04 00:00:00,2022-11-05 00:00:00,,
SUPER 10 OU 200,66804,2039781,704457051,2022-10-22 00:00:00,2022-11-04 00:00:00,2022-11-06 00:00:00,,
VEGAS,63302,5235877,704265230,2022-09-09 00:00:00,2022-11-04 00:00:00,,,
CASH,14001,6366743,704457052,2022-10-22 00:00:00,2022-11-03 00:00:00,2022-11-04 00:00:00,,
JACKPOT,65902,5043424,704387131,2022-10-07 00:00:00,2022-11-03 00:00:00,2022-11-06 00:00:00,,
MAXI MOTS CROISÉS,67303,1130007,704387130,2022-10-07 00:00:00,2022-11-03 00:00:00,2022-11-04 00:00:00,,
MILLIONNAIRE,67101,5516102,704387130,2022-10-07 00:00:00,2022-11-03 00:00:00,2022-11-05 00:00:00,,
SUPER 10 OU 200,66804,2039763,704457051,2022-10-22 00:00:00,2022-11-03 00:00:00,2022-11-05 00:00:00,,
X20,14801,1495024,704312835,2022-09-22 00:00:00,2022-11-03 00:00:00,2022-11-06 00:00:00,,
BLACK JACK,64707,91621,704312835,2022-09-22 00:00:00,2022-11-02 00:00:00,,,
CASH,14001,6366740,704457052,2022-10-22 00:00:00,2022-11-02 00:00:00,2022-11-04 00:00:00,,
GOAL,65401,4648829,704312836,2022-09-22 00:00:00,2022-11-02 00:00:00,,,
MAXI MOTS CROISÉS,67303,1130006,704387130,2022-10-07 00:00:00,2022-11-02 00:00:00,2022-11-03 00:00:00,,
MEGA MOTS CROISÉS,67403,900370,704387130,2022-10-07 00:00:00,2022-11-02 00:00:00,2022-11-05 00:00:00,,
PUZZLE,79301,207928,704457053,2022-10-22 00:00:00,2022-11-02 00:00:00,2022-11-06 00:00:00,,
SUPER 10 OU 200,66804,2039757,704457051,2022-10-22 00:00:00,2022-11-02 00:00:00,2022-11-03 00:00:00,,
SUPER 10 OU 200,66804,2039758,704457051,2022-10-22 00:00:00,2022-11-02 00:00:00,2022-11-03 00:00:00,,
SUPER 10 OU 200,66804,2039762,704457051,2022-10-22 00:00:00,2022-11-02 00:00:00,2022-11-04 00:00:00,,
CASH,14001,4511224,704387130,2022-10-07 00:00:00,2022-10-31 00:00:00,2022-11-01 00:00:00,,
CASH,14001,6366439,704457052,2022-10-22 00:00:00,2022-10-31 00:00:00,2022-11-03 00:00:00,,
JACKPOT,65902,5043418,704387131,2022-10-07 00:00:00,2022-10-31 00:00:00,2022-11-03 00:00:00,,
MAXI MOTS CROISÉS,67303,1130005,704387130,2022-10-07 00:00:00,2022-10-31 00:00:00,2022-11-01 00:00:00,,
MAXI OBJECTIF MAISON,14501,122182,704312835,2022-09-22 00:00:00,2022-10-31 00:00:00,,,
MEGA GOAL,69901,706720,704312835,2022-09-22 00:00:00,2022-10-31 00:00:00,2022-11-01 00:00:00,,
MEGA MOTS CROISÉS,67403,900325,704387130,2022-10-07 00:00:00,2022-10-31 00:00:00,2022-11-01 00:00:00,,
MILLIONNAIRE,67101,5085385,704312835,2022-09-22 00:00:00,2022-10-31 00:00:00,2022-11-04 00:00:00,,
MOTS CROISÉS,67503,1166353,704457052,2022-10-22 00:00:00,2022-10-31 00:00:00,2022-11-05 00:00:00,,
PUZZLE,79301,254712,704457051,2022-10-22 00:00:00,2022-10-31 00:00:00,2022-11-01 00:00:00,,
SUPER 10 OU 200,66804,2039756,704457051,2022-10-22 00:00:00,2022-10-31 00:00:00,2022-11-01 00:00:00,,
X10,14901,765410,704387131,2022-10-07 00:00:00,2022-10-31 00:00:00,,,
X20,14801,1495023,704312835,2022-09-22 00:00:00,2022-10-31 00:00:00,2022-11-04 00:00:00,,
SUPER 10 OU 200,66804,1686181,704387130,2022-10-07 00:00:00,2022-10-30 00:00:00,2022-11-01 00:00:00,,
CASH,14001,4511223,704387130,2022-10-07 00:00:00,2022-10-29 00:00:00,2022-10-31 00:00:00,,
JACKPOT,65902,5043413,704387131,2022-10-07 00:00:00,2022-10-29 00:00:00,2022-11-01 00:00:00,,
MEGA MOTS CROISÉS,67403,900289,704387130,2022-10-07 00:00:00,2022-10-29 00:00:00,2022-11-01 00:00:00,,
SUPER 10 OU 200,66804,1686111,704387130,2022-10-07 00:00:00,2022-10-29 00:00:00,2022-10-31 00:00:00,,
X20,14801,1495022,704312835,2022-09-22 00:00:00,2022-10-29 00:00:00,2022-10-31 00:00:00,,
CASH,14001,4511221,704387130,2022-10-07 00:00:00,2022-10-28 00:00:00,2022-10-29 00:00:00,,
CASH,14001,4511222,704387130,2022-10-07 00:00:00,2022-10-28 00:00:00,2022-10-30 00:00:00,,
Coup Double,88801,2185535,704042569,2022-07-14 00:00:00,2022-10-28 00:00:00,,,
MAXI MOTS CROISÉS,67303,1130001,704387130,2022-10-07 00:00:00,2022-10-28 00:00:00,2022-10-31 00:00:00,,
MILLIONNAIRE,67101,5085384,704312835,2022-09-22 00:00:00,2022-10-28 00:00:00,2022-11-01 00:00:00,,
SUPER 10 OU 200,66804,1686122,704387130,2022-10-07 00:00:00,2022-10-28 00:00:00,2022-10-29 00:00:00,,
SUPER 10 OU 200,66804,1686152,704387130,2022-10-07 00:00:00,2022-10-28 00:00:00,2022-10-30 00:00:00,,
MAXI GOAL,65302,2193406,704312836,2022-09-22 00:00:00,2022-10-27 00:00:00,,,
SUPER 10 OU 200,66804,1686179,704387130,2022-10-07 00:00:00,2022-10-27 00:00:00,2022-10-28 00:00:00,2022-10-31 00:00:00,04D2813342022085
CASH,14001,4510923,704387130,2022-10-07 00:00:00,2022-10-26 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
CASH,14001,4510924,704387130,2022-10-07 00:00:00,2022-10-26 00:00:00,2022-10-28 00:00:00,2022-10-31 00:00:00,04D2813342022085
JACKPOT,65902,5043419,704387131,2022-10-07 00:00:00,2022-10-26 00:00:00,2022-10-30 00:00:00,,
MAXI MOTS CROISÉS,67303,1129987,704387130,2022-10-07 00:00:00,2022-10-26 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
MAXI MOTS CROISÉS,67303,1129996,704387130,2022-10-07 00:00:00,2022-10-26 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
MAXI MOTS CROISÉS,67303,1129997,704387130,2022-10-07 00:00:00,2022-10-26 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
MAXI MOTS CROISÉS,67303,1130000,704387130,2022-10-07 00:00:00,2022-10-26 00:00:00,2022-10-28 00:00:00,2022-10-31 00:00:00,04D2813342022085
MEGA MOTS CROISÉS,67403,1001198,704312834,2022-09-22 00:00:00,2022-10-26 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
MEGA MOTS CROISÉS,67403,1001199,704312834,2022-09-22 00:00:00,2022-10-26 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
MEGA MOTS CROISÉS,67403,1001200,704312834,2022-09-22 00:00:00,2022-10-26 00:00:00,2022-10-29 00:00:00,,
MILLIONNAIRE,67101,5085383,704312835,2022-09-22 00:00:00,2022-10-26 00:00:00,2022-10-28 00:00:00,2022-10-31 00:00:00,04D2813342022085
MOTS CROISÉS,67503,1284139,704387131,2022-10-07 00:00:00,2022-10-26 00:00:00,2022-10-31 00:00:00,,
SUPER 10 OU 200,66804,1686130,704387130,2022-10-07 00:00:00,2022-10-26 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
SUPER 10 OU 200,66804,1686147,704387130,2022-10-07 00:00:00,2022-10-26 00:00:00,2022-10-28 00:00:00,2022-10-31 00:00:00,04D2813342022085
X20,14801,1495021,704312835,2022-09-22 00:00:00,2022-10-26 00:00:00,2022-10-29 00:00:00,,
CASH,14001,4510922,704387130,2022-10-07 00:00:00,2022-10-24 00:00:00,2022-10-25 00:00:00,2022-10-31 00:00:00,04D2813342022085
MEGA GOAL,69901,706718,704312835,2022-09-22 00:00:00,2022-10-24 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
PACTOLE,63903,2774712,704042569,2022-07-14 00:00:00,2022-10-24 00:00:00,,,
SUPER 10 OU 200,66804,1686136,704387130,2022-10-07 00:00:00,2022-10-24 00:00:00,2022-10-25 00:00:00,2022-10-31 00:00:00,04D2813342022085
X20,14801,1495020,704312835,2022-09-22 00:00:00,2022-10-24 00:00:00,2022-10-28 00:00:00,2022-10-31 00:00:00,04D2813342022085
JACKPOT,65902,5043407,704387131,2022-10-07 00:00:00,2022-10-23 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
MAXI MOTS CROISÉS,67303,1129986,704387130,2022-10-07 00:00:00,2022-10-23 00:00:00,2022-10-25 00:00:00,2022-10-31 00:00:00,04D2813342022085
SUPER 10 OU 200,66804,1686135,704387130,2022-10-07 00:00:00,2022-10-23 00:00:00,2022-10-24 00:00:00,2022-10-31 00:00:00,04D2813342022085
CASH,14001,4510915,704387130,2022-10-07 00:00:00,2022-10-22 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
CASH,14001,4510916,704387130,2022-10-07 00:00:00,2022-10-22 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
CASH,14001,4510917,704387130,2022-10-07 00:00:00,2022-10-22 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
MAXI MOTS CROISÉS,67303,2432875,704312833,2022-09-22 00:00:00,2022-10-22 00:00:00,2022-10-24 00:00:00,2022-10-31 00:00:00,04D2813342022085
MAXI OBJECTIF MAISON,14501,121887,704312835,2022-09-22 00:00:00,2022-10-22 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
MEGA MOTS CROISÉS,67403,1001196,704312834,2022-09-22 00:00:00,2022-10-22 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
MEGA MOTS CROISÉS,67403,1001197,704312834,2022-09-22 00:00:00,2022-10-22 00:00:00,2022-10-26 00:00:00,2022-10-31 00:00:00,04D2813342022085
MILLIONNAIRE,67101,5085371,704312835,2022-09-22 00:00:00,2022-10-22 00:00:00,2022-10-24 00:00:00,2022-10-31 00:00:00,04D2813342022085
MISSION PATRIMOINE,79201,250379,704312835,2022-09-22 00:00:00,2022-10-22 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
SUPER 10 OU 200,66804,1686110,704387130,2022-10-07 00:00:00,2022-10-22 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
SUPER 10 OU 200,66804,1686129,704387130,2022-10-07 00:00:00,2022-10-22 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
BLACK JACK,64707,91616,704312835,2022-09-22 00:00:00,2022-10-21 00:00:00,2022-10-28 00:00:00,2022-10-31 00:00:00,04D2813342022085
CASH,14001,8571367,704312834,2022-09-22 00:00:00,2022-10-21 00:00:00,2022-10-22 00:00:00,2022-10-31 00:00:00,04D2813342022085
GOAL,65401,4648827,704312836,2022-09-22 00:00:00,2022-10-21 00:00:00,2022-10-31 00:00:00,,
MOTS CROISÉS,67503,1284113,704387131,2022-10-07 00:00:00,2022-10-21 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
SUPER 10 OU 200,66804,1686104,704387130,2022-10-07 00:00:00,2022-10-21 00:00:00,2022-10-22 00:00:00,2022-10-31 00:00:00,04D2813342022085
X20,14801,1495019,704312835,2022-09-22 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,2022-10-31 00:00:00,04D2813342022085
CASH,14001,8571366,704312834,2022-09-22 00:00:00,2022-10-20 00:00:00,2022-10-22 00:00:00,2022-10-31 00:00:00,04D2813342022085
JACKPOT,65902,6230142,704312835,2022-09-22 00:00:00,2022-10-20 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
MAXI MOTS CROISÉS,67303,2432874,704312833,2022-09-22 00:00:00,2022-10-20 00:00:00,2022-10-22 00:00:00,2022-10-31 00:00:00,04D2813342022085
MEGA MOTS CROISÉS,67403,1001172,704312834,2022-09-22 00:00:00,2022-10-20 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
MISSION PATRIMOINE,79201,250378,704312835,2022-09-22 00:00:00,2022-10-20 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
SUPER 10 OU 200,66804,1686128,704387130,2022-10-07 00:00:00,2022-10-20 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,04D2813342022083
SUPER 10 OU 200,66804,1686153,704387130,2022-10-07 00:00:00,2022-10-20 00:00:00,2022-10-22 00:00:00,2022-10-31 00:00:00,04D2813342022085
X20,14801,1495018,704312835,2022-09-22 00:00:00,2022-10-20 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
A PRENDRE OU A LAISSER,70301,2081823,704042569,2022-07-14 00:00:00,2022-10-19 00:00:00,2022-11-01 00:00:00,,
CASH,14001,8571365,704312834,2022-09-22 00:00:00,2022-10-19 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,04D2813342022083
JACKPOT,65902,6230141,704312835,2022-09-22 00:00:00,2022-10-19 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,04D2813342022083
MAXI MOTS CROISÉS,67303,2432871,704312833,2022-09-22 00:00:00,2022-10-19 00:00:00,2022-10-20 00:00:00,2022-10-24 00:00:00,04D2813342022083
MAXI MOTS CROISÉS,67303,2432873,704312833,2022-09-22 00:00:00,2022-10-19 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,04D2813342022083
MEGA GOAL,69901,706717,704312835,2022-09-22 00:00:00,2022-10-19 00:00:00,2022-10-23 00:00:00,2022-10-31 00:00:00,04D2813342022085
MEGA MOTS CROISÉS,67403,1001171,704312834,2022-09-22 00:00:00,2022-10-19 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,04D2813342022083
SUPER 10 OU 200,66804,1677198,704312833,2022-09-22 00:00:00,2022-10-19 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,04D2813342022083
VEGAS,63302,5235869,704265230,2022-09-09 00:00:00,2022-10-19 00:00:00,2022-10-25 00:00:00,2022-10-31 00:00:00,04D2813342022085
X10,14901,595865,704312835,2022-09-22 00:00:00,2022-10-19 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
CASH,14001,8571364,704312834,2022-09-22 00:00:00,2022-10-17 00:00:00,2022-10-20 00:00:00,2022-10-24 00:00:00,04D2813342022083
JACKPOT,65902,6230126,704312835,2022-09-22 00:00:00,2022-10-17 00:00:00,2022-10-20 00:00:00,2022-10-24 00:00:00,04D2813342022083
MAXI MOTS CROISÉS,67303,2432872,704312833,2022-09-22 00:00:00,2022-10-17 00:00:00,2022-10-20 00:00:00,2022-10-24 00:00:00,04D2813342022083
MEGA MOTS CROISÉS,67403,1001170,704312834,2022-09-22 00:00:00,2022-10-17 00:00:00,2022-10-18 00:00:00,2022-10-24 00:00:00,04D2813342022083
MILLIONNAIRE,67101,5085370,704312835,2022-09-22 00:00:00,2022-10-17 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,04D2813342022083
MISSION PATRIMOINE,79201,250377,704312835,2022-09-22 00:00:00,2022-10-17 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,04D2813342022083
SOLITAIRE,67202,2714908,704157378,2022-08-13 00:00:00,2022-10-17 00:00:00,2022-11-04 00:00:00,,
SUPER 10 OU 200,66804,1677197,704312833,2022-09-22 00:00:00,2022-10-17 00:00:00,2022-10-20 00:00:00,2022-10-24 00:00:00,04D2813342022083
X20,14801,1495017,704312835,2022-09-22 00:00:00,2022-10-17 00:00:00,2022-10-20 00:00:00,2022-10-24 00:00:00,04D2813342022083
CASH,14001,8571363,704312834,2022-09-22 00:00:00,2022-10-16 00:00:00,2022-10-18 00:00:00,2022-10-24 00:00:00,04D2813342022083
MAXI MOTS CROISÉS,67303,2432870,704312833,2022-09-22 00:00:00,2022-10-16 00:00:00,2022-10-18 00:00:00,2022-10-24 00:00:00,04D2813342022083
MOTS CROISÉS,67503,832833,704157376,2022-08-13 00:00:00,2022-10-16 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,04D2813342022083
SUPER 10 OU 200,66804,1677188,704312833,2022-09-22 00:00:00,2022-10-16 00:00:00,2022-10-18 00:00:00,2022-10-24 00:00:00,04D2813342022083
CASH,14001,8571358,704312834,2022-09-22 00:00:00,2022-10-15 00:00:00,2022-10-16 00:00:00,2022-10-24 00:00:00,04D2813342022083
CASH,14001,8571359,704312834,2022-09-22 00:00:00,2022-10-15 00:00:00,2022-10-16 00:00:00,2022-10-24 00:00:00,04D2813342022083
CASH,14001,8571360,704312834,2022-09-22 00:00:00,2022-10-15 00:00:00,2022-10-17 00:00:00,2022-10-24 00:00:00,04D2813342022083
JACKPOT,65902,6230122,704312835,2022-09-22 00:00:00,2022-10-15 00:00:00,2022-10-18 00:00:00,2022-10-24 00:00:00,04D2813342022083
MAXI MOTS CROISÉS,67303,2432841,704312833,2022-09-22 00:00:00,2022-10-15 00:00:00,2022-10-16 00:00:00,2022-10-24 00:00:00,04D2813342022083
MAXI MOTS CROISÉS,67303,2432855,704312833,2022-09-22 00:00:00,2022-10-15 00:00:00,2022-10-17 00:00:00,2022-10-24 00:00:00,04D2813342022083
MEGA GOAL,69901,706716,704312835,2022-09-22 00:00:00,2022-10-15 00:00:00,2022-10-18 00:00:00,2022-10-24 00:00:00,04D2813342022083
MILLIONNAIRE,67101,5085369,704312835,2022-09-22 00:00:00,2022-10-15 00:00:00,2022-10-17 00:00:00,2022-10-24 00:00:00,04D2813342022083
SUPER 10 OU 200,66804,1677186,704312833,2022-09-22 00:00:00,2022-10-15 00:00:00,2022-10-16 00:00:00,2022-10-24 00:00:00,04D2813342022083
SUPER 10 OU 200,66804,1677187,704312833,2022-09-22 00:00:00,2022-10-15 00:00:00,2022-10-17 00:00:00,2022-10-24 00:00:00,04D2813342022083
CASH,14001,8571357,704312834,2022-09-22 00:00:00,2022-10-14 00:00:00,2022-10-15 00:00:00,2022-10-24 00:00:00,04D2813342022083
MAXI MOTS CROISÉS,67303,2432840,704312833,2022-09-22 00:00:00,2022-10-14 00:00:00,2022-10-15 00:00:00,2022-10-24 00:00:00,04D2813342022083
MEGA MOTS CROISÉS,67403,1001168,704312834,2022-09-22 00:00:00,2022-10-14 00:00:00,2022-10-16 00:00:00,2022-10-24 00:00:00,04D2813342022083
MILLIONNAIRE,67101,5085340,704312835,2022-09-22 00:00:00,2022-10-14 00:00:00,2022-10-15 00:00:00,2022-10-24 00:00:00,04D2813342022083
MILLIONNAIRE,67101,5085350,704312835,2022-09-22 00:00:00,2022-10-14 00:00:00,2022-10-16 00:00:00,2022-10-24 00:00:00,04D2813342022083
MISSION PATRIMOINE,79201,250376,704312835,2022-09-22 00:00:00,2022-10-14 00:00:00,2022-10-16 00:00:00,2022-10-24 00:00:00,04D2813342022083
SUPER 10 OU 200,66804,1677055,704312833,2022-09-22 00:00:00,2022-10-14 00:00:00,2022-10-15 00:00:00,2022-10-24 00:00:00,04D2813342022083
SUPER 10 OU 200,66804,1677056,704312833,2022-09-22 00:00:00,2022-10-14 00:00:00,2022-10-15 00:00:00,2022-10-24 00:00:00,04D2813342022083
X20,14801,1495016,704312835,2022-09-22 00:00:00,2022-10-14 00:00:00,2022-10-16 00:00:00,2022-10-24 00:00:00,04D2813342022083
CASH,14001,8571356,704312834,2022-09-22 00:00:00,2022-10-13 00:00:00,2022-10-15 00:00:00,2022-10-24 00:00:00,04D2813342022083
JACKPOT,65902,6230114,704312835,2022-09-22 00:00:00,2022-10-13 00:00:00,2022-10-16 00:00:00,2022-10-24 00:00:00,04D2813342022083
MAXI MOTS CROISÉS,67303,2432835,704312833,2022-09-22 00:00:00,2022-10-13 00:00:00,2022-10-14 00:00:00,2022-10-17 00:00:00,04D2813342022081
MEGA GOAL,69901,795917,704265230,2022-09-09 00:00:00,2022-10-13 00:00:00,2022-10-14 00:00:00,2022-10-17 00:00:00,04D2813342022081
MEGA MOTS CROISÉS,67403,1001169,704312834,2022-09-22 00:00:00,2022-10-13 00:00:00,2022-10-15 00:00:00,2022-10-24 00:00:00,04D2813342022083
MOTS CROISÉS,67503,832779,704157376,2022-08-13 00:00:00,2022-10-13 00:00:00,2022-10-16 00:00:00,2022-10-24 00:00:00,04D2813342022083
SUPER 10 OU 200,66804,1677053,704312833,2022-09-22 00:00:00,2022-10-13 00:00:00,2022-10-15 00:00:00,2022-10-24 00:00:00,04D2813342022083
SUPER 10 OU 200,66804,1686121,704387130,2022-10-07 00:00:00,2022-10-13 00:00:00,2022-10-14 00:00:00,2022-10-17 00:00:00,04D2813342022081
X20,14801,1462075,704265230,2022-09-09 00:00:00,2022-10-13 00:00:00,2022-10-15 00:00:00,2022-10-24 00:00:00,04D2813342022083
CASH,14001,8571355,704312834,2022-09-22 00:00:00,2022-10-12 00:00:00,2022-10-14 00:00:00,2022-10-17 00:00:00,04D2813342022081
JACKPOT,65902,5027388,704265230,2022-09-09 00:00:00,2022-10-12 00:00:00,2022-10-13 00:00:00,2022-10-17 00:00:00,04D2813342022081
MAXI MOTS CROISÉS,67303,2432821,704312833,2022-09-22 00:00:00,2022-10-12 00:00:00,2022-10-13 00:00:00,2022-10-17 00:00:00,04D2813342022081
MAXI MOTS CROISÉS,67303,2432834,704312833,2022-09-22 00:00:00,2022-10-12 00:00:00,2022-10-14 00:00:00,2022-10-17 00:00:00,04D2813342022081
MAXI OBJECTIF MAISON,14501,121878,704312835,2022-09-22 00:00:00,2022-10-12 00:00:00,2022-10-16 00:00:00,2022-10-24 00:00:00,04D2813342022083
MEGA MOTS CROISÉS,67403,1001157,704312834,2022-09-22 00:00:00,2022-10-12 00:00:00,2022-10-13 00:00:00,2022-10-17 00:00:00,04D2813342022081
MEGA MOTS CROISÉS,67403,1001160,704312834,2022-09-22 00:00:00,2022-10-12 00:00:00,2022-10-13 00:00:00,2022-10-17 00:00:00,04D2813342022081
MEGA MOTS CROISÉS,67403,1001161,704312834,2022-09-22 00:00:00,2022-10-12 00:00:00,2022-10-13 00:00:00,2022-10-17 00:00:00,04D2813342022081
MEGA MOTS CROISÉS,67403,1001167,704312834,2022-09-22 00:00:00,2022-10-12 00:00:00,2022-10-14 00:00:00,2022-10-17 00:00:00,04D2813342022081
MILLIONNAIRE,67101,5085339,704312835,2022-09-22 00:00:00,2022-10-12 00:00:00,2022-10-14 00:00:00,2022-10-17 00:00:00,04D2813342022081
SUPER 10 OU 200,66804,1686105,704387130,2022-10-07 00:00:00,2022-10-12 00:00:00,2022-10-13 00:00:00,2022-10-17 00:00:00,04D2813342022081
BLACK JACK,64706,950773,704157378,2022-08-13 00:00:00,2022-10-10 00:00:00,2022-10-18 00:00:00,2022-10-24 00:00:00,04D2813342022083
CASH,14001,8571354,704312834,2022-09-22 00:00:00,2022-10-10 00:00:00,2022-10-13 00:00:00,2022-10-17 00:00:00,04D2813342022081
MAXI GOAL,65302,2654373,704042569,2022-07-14 00:00:00,2022-10-10 00:00:00,2022-10-16 00:00:00,2022-10-17 00:00:00,04D2813342022081
MAXI MOTS CROISÉS,67303,2432817,704312833,2022-09-22 00:00:00,2022-10-10 00:00:00,2022-10-11 00:00:00,2022-10-17 00:00:00,04D2813342022081
MAXI MOTS CROISÉS,67303,2432820,704312833,2022-09-22 00:00:00,2022-10-10 00:00:00,2022-10-13 00:00:00,2022-10-17 00:00:00,04D2813342022081
MEGA GOAL,69901,795916,704265230,2022-09-09 00:00:00,2022-10-10 00:00:00,2022-10-11 00:00:00,2022-10-17 00:00:00,04D2813342022081
VEGAS,63302,4529018,704157378,2022-08-13 00:00:00,2022-10-10 00:00:00,2022-10-14 00:00:00,2022-10-17 00:00:00,04D2813342022081
X20,14801,1462074,704265230,2022-09-09 00:00:00,2022-10-10 00:00:00,2022-10-13 00:00:00,2022-10-17 00:00:00,04D2813342022081
CASH,14001,8571351,704312834,2022-09-22 00:00:00,2022-10-09 00:00:00,2022-10-11 00:00:00,2022-10-17 00:00:00,04D2813342022081
MISSION PATRIMOINE,79201,250375,704312835,2022-09-22 00:00:00,2022-10-09 00:00:00,2022-10-11 00:00:00,2022-10-17 00:00:00,04D2813342022081
MOTS CROISÉS,67503,832775,704157376,2022-08-13 00:00:00,2022-10-09 00:00:00,2022-10-11 00:00:00,2022-10-17 00:00:00,04D2813342022081
SUPER 10 OU 200,66804,1686180,704387130,2022-10-07 00:00:00,2022-10-09 00:00:00,2022-10-13 00:00:00,2022-10-17 00:00:00,04D2813342022081
ASTRO,66402,1493302,704042569,2022-07-14 00:00:00,2022-10-08 00:00:00,2022-10-27 00:00:00,2022-10-31 00:00:00,04D2813342022085
